framework_code,version,control_number,domain,title_en,title_ar,requirement_en,requirement_ar,control_type,maturity_level,implementation_guidance_en,evidence_requirements,mapping_iso27001,mapping_nist,status,source_file
CMA-AML,v1.0,1.1,policy,AML Policy,سياسة مكافحة غسل الأموال,Establish comprehensive AML/CFT policy,وضع سياسة شاملة لمكافحة غسل الأموال,preventive,2,Develop AML/CFT policy for capital market activities. Cover customer due diligence transaction monitoring reporting. Obtain board approval.,AML policy|Board approval|CDD/monitoring/reporting coverage,A.5.1,ID.GV-1,active,controls_cma_aml_complete.csv
NIST_CSF,v1.1,ID.BE-3,identify,Priorities for Mission Functions,الأولويات للمهام والموارد,Priorities for organizational mission and functions established,تحديد الأولويات لوظائف وموارد المهمة الحرجة,preventive,3,Identify critical business functions. Conduct BIA. Define RTOs and RPOs. Establish recovery priorities.,Critical function list|BIA report|RTO/RPO definitions|Recovery priorities,A.17.1,ID.BE-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.BE-2,identify,Organization's Place in Critical Infrastructure,موقع المنظمة في سلسلة التوريد,Organization's place in critical infrastructure identified,تحديد موقع المنظمة في البنية التحتية الحرجة,preventive,2,Determine if organization part of critical infrastructure. Understand sector-specific requirements.,Critical infrastructure assessment|Sector identification,A.18.1,ID.BE-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.BE-1,identify,Organization's Role in Supply Chain,دور المنظمة,Organization's role in supply chain is identified,تحديد دور المنظمة في سلسلة التوريد,preventive,2,Identify organization's position in supply chain. Document dependencies. Understand critical suppliers and customers.,Supply chain documentation|Dependency mapping|Critical relationships,A.15.1,ID.BE-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.AM-6,identify,Cybersecurity Roles and Responsibilities,أدوار ومسؤوليات الأمن,Cybersecurity roles and responsibilities established for workforce and stakeholders,تحديد أدوار ومسؤوليات الأمن السيبراني,preventive,2,Define security roles and responsibilities. Create RACI matrix. Assign to personnel. Communicate clearly.,RACI matrix|Role definitions|Assignment records,A.5.2,ID.AM-6,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.AM-5,identify,Resource Prioritization,ترتيب الموارد حسب الأولوية,Resources prioritized based on classification criticality and business value,ترتيب أولويات الموارد حسب تصنيفها والقيمة للأعمال,preventive,3,Classify and prioritize assets. Rank by business criticality. Define protection requirements per classification.,Asset classification|Criticality rankings|Protection requirements,A.8.2,ID.AM-5,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.AM-4,identify,External Information Systems,الموارد الخارجية,External information systems are catalogued,جرد أنظمة المعلومات والخدمات الخارجية,preventive,2,Inventory external systems and services: cloud SaaS third-party connections. Document providers and purposes.,External systems inventory|Provider list|Service catalog,A.15.1,ID.AM-4,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.AM-3,identify,Organizational Communication Flows,اتصالات البنية التحتية,Organizational communication and data flows are mapped,توثيق تدفقات الاتصالات التنظيمية,preventive,3,Map and document communication flows. Identify data paths network topology interfaces. Update regularly.,Network diagrams|Data flow diagrams|Communication maps,A.13.1,ID.AM-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.AM-2,identify,Software Platform Asset Management,إدارة منصات البرامج,Software platforms and applications within organization are inventoried,جرد منصات وتطبيقات البرامج داخل المنظمة,preventive,2,Maintain inventory of all software: operating systems applications databases. Include versions licenses.,Software inventory|License tracking|Version control,A.8.1,ID.AM-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.AM-1,identify,Physical Device Asset Management,إدارة الأصول المادية,Physical devices and systems within organization are inventoried,جرد الأجهزة والأنظمة المادية داخل المنظمة,preventive,2,Maintain inventory of all physical devices: servers workstations network equipment. Include location owner status.,Device inventory|Asset register|Location tracking,A.8.1,ID.AM-1,active,controls_nist_csf_v1_complete.csv
NCA-ECC,v2.0,12.3.2,audit,Audit Tool Protection,حماية أدوات التدقيق,Protect audit tools,حماية أدوات التدقيق,preventive,2,Control access to audit tools. Segregate from operational systems. Monitor use. Protect from tampering.,Audit tool access controls|Segregation evidence|Usage logs,A.18.2,PR.PT-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,12.3.1,audit,Auditor Cooperation,التعاون مع المدققين,Cooperate with auditors,التعاون مع المدققين,corrective,2,Provide auditor access to systems data personnel. Respond to requests promptly. Facilitate audit activities.,Audit access approvals|Information provided|Response records,A.18.2,DE.CM-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,12.2.2,nca,NCA Directives,الامتثال للتوجيهات,Comply with NCA directives,الامتثال لتوجيهات الهيئة الوطنية للأمن السيبراني,preventive,3,Monitor NCA advisories and directives. Implement required actions. Report compliance. Maintain documentation.,Directive tracking|Implementation evidence|Compliance reports,A.18.1,ID.GV-3,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,12.2.1,nca,NCA Reporting,الإبلاغ للهيئة,Report incidents to National Cybersecurity Authority,الإبلاغ عن الحوادث للهيئة الوطنية للأمن السيبراني,corrective,4,Report significant incidents to NCA within required timeframe. Use official channels. Provide required information.,NCA reporting procedures|Incident notifications|NCA acknowledgments,A.16.1,RS.CO-3,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,12.1.2,compliance,Technical Compliance,المراجعة الفنية,Technical compliance review,المراجعة الفنية للامتثال,detective,3,Review technical compliance: system configurations security settings access controls. Use automated tools.,Technical audit procedures|Configuration reviews|Automated scan results,A.18.2,DE.CM-4,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,12.1.1,compliance,Independent Compliance,الامتثال المستقل,Review compliance independently,مراجعة الامتثال بشكل مستقل,detective,3,Conduct independent compliance audits. Use internal audit or third party. Cover all control domains. Report findings.,Audit schedule|Audit reports|Independence evidence|Findings tracking,A.18.2,DE.CM-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,11.2.2,continuity,Alternate Site,الموقع البديل,Establish alternate site for recovery,إنشاء موقع بديل للتعافي,corrective,4,Maintain hot warm or cold site. Ensure adequate capacity. Test failover. Keep data synchronized.,Alternate site agreement|Site specifications|Failover tests|Data replication,A.17.2,RS.RP-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,11.2.1,continuity,Redundancy,التكرار,Implement redundancy for critical systems,تطبيق التكرار للأنظمة الحرجة,preventive,4,Implement redundant systems: power network storage servers. Use clustering load balancing failover.,Redundancy architecture|HA configuration|Failover tests,A.17.2,PR.PT-5,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,9.1.2,supplier,Supplier Assessment,تقييم الموردين,Assess supplier risks before engagement,تقييم مخاطر الموردين قبل التعاقد,detective,3,Assess supplier security posture. Review certifications policies controls. Conduct security due diligence.,Assessment questionnaires|Evaluation reports|Certification verification,A.15.1,ID.SC-2,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,9.1.3,supplier,Supplier Agreements,اتفاقيات الموردين,Include security requirements in supplier agreements,تضمين متطلبات الأمن في اتفاقيات الموردين,preventive,3,Include security clauses: confidentiality access controls incident notification audit rights breach liability.,Contract clauses|Signed agreements|Security requirements,A.15.1,ID.SC-4,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,9.2.1,supplier,Supplier Monitoring,مراقبة الموردين,Monitor and review supplier services,مراقبة ومراجعة خدمات الموردين,detective,3,Monitor supplier performance. Review SLA compliance. Conduct annual security reviews. Address issues.,Performance reports|SLA reviews|Annual assessments|Issue tracking,A.15.2,DE.CM-6,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,9.2.2,supplier,Change Management,إدارة التغييرات,Manage changes to supplier services,إدارة التغييرات في خدمات الموردين,preventive,2,Require notification of supplier changes. Assess security impact. Approve before implementation.,Change notification process|Impact assessments|Change approvals,A.15.2,PR.IP-3,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,10.1.1,incident,Incident Procedures,إجراءات الحوادث,Establish incident response procedures,وضع إجراءات الاستجابة للحوادث,corrective,3,Develop incident response plan. Define roles responsibilities escalation. Cover detection containment eradication recovery.,Incident response plan|Role definitions|Escalation procedures,A.16.1,RS.RP-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,10.1.2,incident,Incident Reporting,الإبلاغ عن الحوادث,Report information security incidents,الإبلاغ عن حوادث أمن المعلومات,corrective,3,Establish incident reporting channels. Require timely reporting. Provide multiple reporting methods. Protect reporters.,Reporting procedures|Reporting channels|Incident log,A.16.1,RS.CO-2,active,controls_nca_ecc_v2_complete.csv
NIST_CSF,v1.1,ID.BE-4,identify,Dependencies of Critical Functions,الاعتماديات والوظائف الحرجة,Dependencies and critical functions for delivery of services identified,تحديد اعتماديات الوظائف الحرجة,preventive,3,Map dependencies for critical functions. Identify supporting systems infrastructure personnel.,Dependency mapping|Critical function documentation|Support requirements,A.17.1,ID.BE-4,active,controls_nist_csf_v1_complete.csv
NCA-ECC,v2.0,10.1.3,incident,Incident Assessment,تقييم الحوادث,Assess and classify information security incidents,تقييم وتصنيف حوادث أمن المعلومات,detective,3,Classify incidents by severity and impact. Prioritize response. Escalate critical incidents. Document assessment.,Classification scheme|Severity definitions|Assessment records|Escalation evidence,A.16.1,RS.AN-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,10.2.2,incident,Evidence Collection,جمع الأدلة,Collect and preserve digital evidence,جمع والحفاظ على الأدلة الرقمية,corrective,3,Implement forensic procedures. Maintain chain of custody. Use forensic tools. Preserve evidence integrity.,Forensic procedures|Chain of custody forms|Forensic tool inventory,A.16.1,RS.AN-3,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,10.2.3,incident,Lessons Learned,التعلم من الحوادث,Learn from information security incidents,التعلم من حوادث أمن المعلومات,corrective,2,Conduct post-incident reviews. Identify root causes. Implement improvements. Share lessons learned.,Post-incident review reports|Root cause analysis|Improvement plans,A.16.1,RS.IM-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,10.3.1,incident,External Reporting,الإبلاغ للجهات,Report incidents to relevant authorities,الإبلاغ عن الحوادث للجهات المعنية,corrective,3,Report incidents to NCA SDAIA law enforcement as required. Notify affected parties. Follow legal requirements.,Reporting procedures|Notification records|Legal compliance evidence,A.16.1,RS.CO-3,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,11.1.1,continuity,Continuity Planning,تخطيط الاستمرارية,Establish business continuity plans,وضع خطط استمرارية الأعمال,corrective,4,Develop BCP for critical business functions. Define RTOs and RPOs. Include IT disaster recovery.,BCP documentation|RTO/RPO definitions|DR plans,A.17.1,RS.RP-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,11.1.2,continuity,Business Impact Analysis,تحليل الأثر,Conduct business impact analysis,إجراء تحليل أثر الأعمال,detective,3,Identify critical business processes. Assess impact of disruptions. Determine recovery priorities. Document findings.,BIA report|Critical process list|Impact analysis|Recovery priorities,A.17.1|A.17.2,ID.BE-3,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,11.1.3,continuity,Plan Testing,اختبار الخطط,Test continuity plans,اختبار خطط الاستمرارية,detective,4,Test BCP and DR plans annually. Conduct tabletop exercises and full tests. Document results. Update plans.,Test schedule|Test scenarios|Test results|Plan updates,A.17.1,RS.RP-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,10.2.1,incident,Incident Response,الاستجابة للحوادث,Respond to information security incidents,الاستجابة لحوادث أمن المعلومات,corrective,4,Activate incident response team. Contain incident. Preserve evidence. Eradicate threat. Recover systems.,Response procedures|Team activation records|Containment evidence|Recovery logs,A.16.1,RS.MI-1,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,9.1.1,supplier,Supplier Policy,سياسة الموردين,Establish information security policy for suppliers,وضع سياسة أمن المعلومات للموردين,preventive,2,Define supplier security requirements. Cover access data protection incident reporting. Include in agreements.,Supplier security policy|Agreement templates|Signed contracts,A.15.1,ID.SC-1,active,controls_nca_ecc_v2_complete.csv
NIST_CSF,v1.1,ID.BE-5,identify,Resilience Requirements,المرونة للوظائف الحرجة,Resilience requirements to support delivery of critical services established,تحديد متطلبات المرونة لدعم تقديم الخدمات الحرجة,preventive,3,Define resilience requirements for critical services. Determine redundancy backup failover needs.,Resilience requirements|Redundancy specifications|Backup requirements,A.17.2,ID.BE-5,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.GV-2,identify,Cybersecurity Roles Coordinated,الأدوار والمسؤوليات الأمنية,Cybersecurity roles and responsibilities coordinated and aligned,تنسيق ودمج أدوار ومسؤوليات الأمن السيبراني,preventive,2,Coordinate security responsibilities across organization. Align with business units. Define interfaces.,Coordination mechanisms|Responsibility alignment|Interface definitions,A.5.2,ID.GV-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.DS-3,protect,Asset Management,إدارة الأصول,Assets formally managed throughout removal disposal and destruction,إدارة الأصول بشكل رسمي طوال دورة حياتها,preventive,3,Manage asset lifecycle: acquisition deployment operation disposal. Sanitize before disposal. Document destruction.,Asset lifecycle procedures|Sanitization procedures|Destruction certificates,A.11.2,PR.DS-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.DS-2,protect,Data-in-Transit Protection,حماية البيانات في النقل,Data-in-transit protected,حماية البيانات في النقل,preventive,4,Encrypt all sensitive data in transit. Use TLS 1.2+ for web VPN for remote access. Disable weak protocols.,TLS configuration|VPN encryption|Protocol restrictions,A.13.1,PR.DS-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.DS-1,protect,Data-at-Rest Protection,حماية البيانات في حالة السكون,Data-at-rest protected,حماية البيانات في حالة السكون,preventive,4,Encrypt all sensitive data at rest. Use AES-256. Protect databases file servers backups. Manage keys securely.,Encryption policy|Data-at-rest encryption|Key management,A.10.1,PR.DS-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AT-5,protect,Physical Security Awareness,توعية الأمن المادي,Personnel aware of physical security and cybersecurity risks,توعية الموظفين بالأمن المادي والأمن السيبراني,preventive,2,Train personnel on physical and cyber security risks. Cover social engineering tailgating device security.,Physical security training|Cyber risk awareness|Social engineering training,A.6.3,PR.AT-5,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AT-4,protect,Incident Response Training,التدريب على الاستجابة,Senior executives and personnel trained on incident response,تدريب المديرين والموظفين على الاستجابة,preventive,3,Train incident responders on procedures tools. Train executives on roles. Conduct tabletop exercises.,IR training|Executive training|Tabletop exercises,A.16.1,PR.AT-4,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AT-3,protect,Third-Party Training,تدريب الأطراف الثالثة,Third-party personnel understand roles and responsibilities,تدريب موظفي الأطراف الثالثة,preventive,2,Train third-party personnel on security requirements. Cover responsibilities policies. Obtain acknowledgment.,Third-party training|Requirements coverage|Acknowledgments,A.6.3,PR.AT-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AT-2,protect,Privileged User Training,تدريب الموظفين المميزين,Privileged users understand roles and responsibilities,تدريب الموظفين المميزين,preventive,3,Train privileged users on their responsibilities. Cover security implications. Provide specialized training.,Privileged user training|Responsibility training|Specialized content,A.6.3,PR.AT-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AT-1,protect,User Awareness and Training,توعية وتدريب المستخدمين,All users informed and trained,توعية وتدريب جميع المستخدمين,preventive,2,Provide security awareness training to all users. Cover policies threats best practices. Train annually. Track completion.,Training program|Annual training|Comprehensive topics|Completion tracking,A.6.3,PR.AT-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AC-7,protect,Authentication and Authorization,المصادقة والتفويض,Users devices and assets authenticated based on risk,المصادقة والتفويض بناءً على المخاطر,preventive,4,Implement risk-based authentication. Require MFA for high-risk access. Use adaptive authentication. Monitor anomalies.,Risk-based authentication|MFA implementation|Adaptive controls|Anomaly monitoring,A.9.4,PR.AC-7,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AC-6,protect,Identities Proofed and Bound,الهويات بأدلة,Identities proofed and bound to credentials,إثبات وربط الهويات ببيانات الاعتماد,preventive,3,Verify user identities before issuing credentials. Use identity proofing. Bind credentials to verified identities.,Identity verification procedures|Proofing evidence|Credential binding,A.9.2,PR.AC-6,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AC-5,protect,Network Integrity Protection,حماية سلامة الشبكة,Network integrity protected incorporating network segregation,حماية سلامة الشبكة,preventive,3,Segment networks. Use VLANs and firewalls. Isolate critical systems. Control inter-zone traffic.,Network segmentation|VLANs|Firewalls|Zone isolation|Traffic controls,A.13.1,PR.AC-5,active,controls_nist_csf_v1_complete.csv
