sector_code,sector_name_en,sector_name_ar,regulator_code,regulator_name_en,framework_code,framework_name_en,applicability,mandatory,priority,notes
banking,Banking,البنوك,SAMA,Saudi Central Bank,SAMA-CSF,SAMA Cybersecurity Framework,all,yes,critical,Mandatory for all banks and financial institutions
banking,Banking,البنوك,SAMA,Saudi Central Bank,SAMA-AML,SAMA AML-CFT Framework,all,yes,critical,Mandatory anti-money laundering compliance
banking,Banking,البنوك,SAMA,Saudi Central Bank,SAMA-PSR,SAMA Payment Systems Regulations,payment_processors,yes,high,For payment service providers
banking,Banking,البنوك,SDAIA,Saudi Data & AI Authority,PDPL,Personal Data Protection Law,all,yes,critical,Mandatory for customer data protection
banking,Banking,البنوك,NCA,National Cybersecurity Authority,NCA-ECC,Essential Cybersecurity Controls,essential_entities,yes,critical,If designated as essential entity
banking,Banking,البنوك,ZATCA,Zakat Tax and Customs Authority,ZATCA-EINV,E-Invoicing Regulations,all,yes,high,Mandatory e-invoicing compliance
banking,Banking,البنوك,SDAIA,Saudi Data & AI Authority,DGA-DG,Data Governance Framework,all,yes,high,Data governance requirements
banking,Banking,البنوك,CMA,Capital Market Authority,CMA-CG,Corporate Governance,listed_banks,yes,high,For listed banks only
capital_markets,Capital Markets,الأسواق المالية,CMA,Capital Market Authority,CMA-CG,Corporate Governance Regulations,all,yes,critical,Mandatory for all listed companies
capital_markets,Capital Markets,الأسواق المالية,CMA,Capital Market Authority,CMA-LR,Listing Rules,listed,yes,critical,For companies listing on Saudi Exchange
capital_markets,Capital Markets,الأسواق المالية,CMA,Capital Market Authority,CMA-CML,Capital Market Law,all,yes,critical,Core regulatory framework
capital_markets,Capital Markets,الأسواق المالية,SDAIA,Saudi Data & AI Authority,PDPL,Personal Data Protection Law,all,yes,critical,Investor data protection
capital_markets,Capital Markets,الأسواق المالية,NCA,National Cybersecurity Authority,NCA-ECC,Essential Cybersecurity Controls,essential_entities,yes,critical,For critical infrastructure
capital_markets,Capital Markets,الأسواق المالية,ZATCA,Zakat Tax and Customs Authority,ZATCA-EINV,E-Invoicing Regulations,all,yes,medium,E-invoicing compliance
capital_markets,Capital Markets,الأسواق المالية,SDAIA,Saudi Data & AI Authority,DGA-DG,Data Governance Framework,all,yes,high,Data management standards
insurance,Insurance,التأمين,SAMA,Saudi Central Bank,SAMA-CSF,SAMA Cybersecurity Framework,all,yes,critical,Cybersecurity requirements for insurance
insurance,Insurance,التأمين,SAMA,Saudi Central Bank,SAMA-INS,Insurance Regulations,all,yes,critical,Insurance-specific regulations
insurance,Insurance,التأمين,SDAIA,Saudi Data & AI Authority,PDPL,Personal Data Protection Law,all,yes,critical,Policyholder data protection
insurance,Insurance,التأمين,NCA,National Cybersecurity Authority,NCA-ECC,Essential Cybersecurity Controls,essential_entities,yes,critical,If designated essential
insurance,Insurance,التأمين,ZATCA,Zakat Tax and Customs Authority,ZATCA-EINV,E-Invoicing Regulations,all,yes,medium,E-invoicing compliance
insurance,Insurance,التأمين,SDAIA,Saudi Data & AI Authority,DGA-DG,Data Governance Framework,all,yes,high,Data governance
healthcare,Healthcare,الرعاية الصحية,MOH,Ministry of Health,MOH-HIS,Health Information Systems Security,all,yes,critical,Healthcare data security
healthcare,Healthcare,الرعاية الصحية,MOH,Ministry of Health,MOH-EHR,Electronic Health Records,all,yes,critical,EHR standards and security
healthcare,Healthcare,الرعاية الصحية,SFDA,Food and Drug Authority,SFDA-GMP,Good Manufacturing Practice,pharma,yes,critical,For pharmaceutical manufacturers
healthcare,Healthcare,الرعاية الصحية,CBAHI,Health Accreditation,CBAHI-STD,Healthcare Accreditation Standards,facilities,yes,critical,For healthcare facilities seeking accreditation
healthcare,Healthcare,الرعاية الصحية,SDAIA,Saudi Data & AI Authority,PDPL,Personal Data Protection Law,all,yes,critical,Patient data protection (special category)
healthcare,Healthcare,الرعاية الصحية,NCA,National Cybersecurity Authority,NCA-ECC,Essential Cybersecurity Controls,essential_entities,yes,critical,Critical healthcare infrastructure
healthcare,Healthcare,الرعاية الصحية,ZATCA,Zakat Tax and Customs Authority,ZATCA-EINV,E-Invoicing Regulations,all,yes,medium,Billing and invoicing
healthcare,Healthcare,الرعاية الصحية,SDAIA,Saudi Data & AI Authority,DGA-DG,Data Governance Framework,all,yes,high,Health data governance
telecom,Telecommunications,الاتصالات,CITC,Communications and IT Commission,CITC-LIC,Licensing Regulations,all,yes,critical,Telecom licensing requirements
telecom,Telecommunications,الاتصالات,CITC,Communications and IT Commission,CITC-NET,Network Security,all,yes,critical,Network infrastructure security
telecom,Telecommunications,الاتصالات,NCA,National Cybersecurity Authority,NCA-ECC,Essential Cybersecurity Controls,all,yes,critical,All telecom are essential entities
telecom,Telecommunications,الاتصالات,SDAIA,Saudi Data & AI Authority,PDPL,Personal Data Protection Law,all,yes,critical,Subscriber data protection
telecom,Telecommunications,الاتصالات,ZATCA,Zakat Tax and Customs Authority,ZATCA-EINV,E-Invoicing Regulations,all,yes,high,Billing compliance
telecom,Telecommunications,الاتصالات,SDAIA,Saudi Data & AI Authority,DGA-DG,Data Governance Framework,all,yes,high,Communications data governance
energy,Energy & Utilities,الطاقة والمرافق,ECRA,Energy & Cogeneration Regulatory Authority,ECRA-LIC,Energy Licensing,all,yes,critical,Energy sector licensing
energy,Energy & Utilities,الطاقة والمرافق,ECRA,Energy & Cogeneration Regulatory Authority,ECRA-SEC,Energy Security Standards,all,yes,critical,Critical infrastructure protection
energy,Energy & Utilities,الطاقة والمرافق,NCA,National Cybersecurity Authority,NCA-ECC,Essential Cybersecurity Controls,all,yes,critical,All energy sector is essential
energy,Energy & Utilities,الطاقة والمرافق,WEC,Water & Electricity Regulatory Authority,WEC-STD,Water & Electricity Standards,water_electric,yes,critical,For water and electricity providers
energy,Energy & Utilities,الطاقة والمرافق,SDAIA,Saudi Data & AI Authority,PDPL,Personal Data Protection Law,all,yes,high,Customer data protection
energy,Energy & Utilities,الطاقة والمرافق,ZATCA,Zakat Tax and Customs Authority,ZATCA-EINV,E-Invoicing Regulations,all,yes,medium,Billing compliance
